"buffet_name","buffet_url","buffet_address","buffet_cuisine"
"Café Kool","https://www.openrice.com/zh/hongkong/r-cafe-kool-%E5%B0%96%E6%B2%99%E5%92%80-%E5%A4%9A%E5%9C%8B%E8%8F%9C-%E8%87%AA%E5%8A%A9%E9%A4%90-r517/buffet","尖沙咀麼地道64號九龍香格里拉大酒店閣樓","西式
酒店餐廳"
"The Lounge (香港JW萬豪酒店) The Lounge (JW Marriott Hotel Hong Kong )","https://www.openrice.com/zh/hongkong/r-the-lounge-%E9%A6%99%E6%B8%AFjw%E8%90%AC%E8%B1%AA%E9%85%92%E5%BA%97-%E9%87%91%E9%90%98-%E8%A5%BF%E5%BC%8F-%E8%87%AA%E5%8A%A9%E9%A4%90-r1506/buffet","金鐘金鐘道88號太古廣場香港JW萬豪酒店大堂","西式
酒店餐廳"
"Cafe 103","https://www.openrice.com/zh/hongkong/r-cafe-103-%E5%B0%96%E6%B2%99%E5%92%80-%E8%A5%BF%E5%BC%8F-%E8%87%AA%E5%8A%A9%E9%A4%90-r78302/buffet","尖沙咀柯士甸道西1號環球貿易廣場(ICC)香港麗思卡爾頓酒店103樓","酒店餐廳"
"JW咖啡室 JW Cafe","https://www.openrice.com/zh/hongkong/r-jw%E5%92%96%E5%95%A1%E5%AE%A4-%E9%87%91%E9%90%98-%E5%A4%9A%E5%9C%8B%E8%8F%9C-%E8%87%AA%E5%8A%A9%E9%A4%90-r447757/buffet","金鐘金鐘道88號太古廣場香港JW萬豪酒店5樓","酒店餐廳"
"萬麗咖啡室 Cafe Renaissance","https://www.openrice.com/zh/hongkong/r-%E8%90%AC%E9%BA%97%E5%92%96%E5%95%A1%E5%AE%A4-%E7%81%A3%E4%BB%94-%E5%A4%9A%E5%9C%8B%E8%8F%9C-%E8%87%AA%E5%8A%A9%E9%A4%90-r2873/buffet","灣仔港灣道1號香港萬麗海景酒店閣樓","西式
酒店餐廳"
"快船廊 Clipper Lounge","https://www.openrice.com/zh/hongkong/r-%E5%BF%AB%E8%88%B9%E5%BB%8A-%E4%B8%AD%E7%92%B0-%E8%A5%BF%E5%BC%8F-%E8%87%AA%E5%8A%A9%E9%A4%90-r494/buffet","中環干諾道中5號香港文華東方酒店閣樓","西式
酒店餐廳"
"Porterhouse - Seafood & Steak","https://www.openrice.com/zh/hongkong/r-porterhouse-seafood-steak-%E4%B8%AD%E7%92%B0-%E8%A5%BF%E5%BC%8F-%E6%B5%B7%E9%AE%AE-r455519/buffet","中環蘭桂坊德己立街30-32號加州大廈7樓","早午餐"
"The Farmhouse 咖啡廳","https://www.openrice.com/zh/hongkong/r-the-farmhouse-%E5%92%96%E5%95%A1%E5%BB%B3-%E5%8C%97%E8%A7%92-%E5%A4%9A%E5%9C%8B%E8%8F%9C-%E8%87%AA%E5%8A%A9%E9%A4%90-r579124/buffet","北角北角邨里1號香港維港凱悅尚萃酒店西座2樓","聖誕自助餐
除夕自助餐"
"君悅咖啡廳 Grand Cafe","https://www.openrice.com/zh/hongkong/r-%E5%90%9B%E6%82%85%E5%92%96%E5%95%A1%E5%BB%B3-%E7%81%A3%E4%BB%94-%E8%A5%BF%E5%BC%8F-%E8%87%AA%E5%8A%A9%E9%A4%90-r316/buffet","灣仔港灣道1號君悅酒店大堂","西式
酒店餐廳"
"Yamm","https://www.openrice.com/zh/hongkong/r-yamm-%E5%B0%96%E6%B2%99%E5%92%80-%E5%A4%9A%E5%9C%8B%E8%8F%9C-%E8%87%AA%E5%8A%A9%E9%A4%90-r22100/buffet","尖沙咀彌敦道118-130號Mira Place, The Mira Hong Kong 地下大堂","西式
酒店餐廳"
"8度餐廳 Café 8 Degrees","https://www.openrice.com/zh/hongkong/r-8%E5%BA%A6%E9%A4%90%E5%BB%B3-%E5%9C%9F%E7%93%9C%E7%81%A3-%E5%A4%9A%E5%9C%8B%E8%8F%9C-%E8%87%AA%E5%8A%A9%E9%A4%90-r36472/buffet","土瓜灣九龍城道199號8度海逸酒店地下","聖誕自助餐
除夕自助餐"
